============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000166   3.9821E+04  4.8062E+03 -4.6225E+03
0000167   4.3608E+04  1.6206E+03 -3.5861E+03
0000168   3.6033E+04 -1.2543E+02  3.5846E+03
0000169   3.7528E+04 -1.1559E+03 -4.9782E+02
0000170   3.7316E+04  1.9413E+03  1.2294E+04
0000171   3.9351E+04 -4.3441E+03  9.8083E+03
0000172   3.2319E+04  9.0290E+03 -3.6964E+03
0000173   4.0770E+04 -5.3577E+03 -1.2802E+03
0000174   4.2034E+04 -2.0514E+01 -5.0299E+03
0000175   3.8993E+04  1.1886E+04  7.1402E+02
0000176   3.2568E+04 -5.2020E+03 -1.5301E+04
0000177   1.6731E+04  1.7137E+03  3.1785E+03
0000178   3.9386E+04 -7.4683E+03 -3.3571E+03
0000179   3.7672E+04 -3.7386E+02  3.2668E+03
0000180   3.6688E+04 -1.8858E+03  5.4516E+03
0000181   3.9362E+04  2.2179E+02  2.4048E+03
0000182   3.6255E+04  5.9291E+03 -6.0433E+03
0000183   3.6350E+04 -4.9529E+03 -1.7038E+03
0000184   3.8154E+04  1.0916E+03  5.3105E+03
0000185   3.7388E+04  8.9105E+03  2.2309E+03
0000186   3.6791E+04  1.5935E+03  8.5209E+03
0000187   4.0046E+04 -4.2662E+03  9.1801E+03
0000188   3.8629E+04  3.3976E+03  7.7284E+02
0000189   4.3632E+04 -5.3947E+03  1.1064E+03
0000190   4.1341E+04 -9.1890E+03 -1.2005E+03
0000191   3.6589E+04  7.6788E+03 -7.6438E+03
0000192   4.0483E+04  3.1132E+03  2.7105E+03
0000193   3.9746E+04 -1.4283E+03 -5.1668E+03
0000194   4.0623E+04  4.6941E+03 -5.6785E+03
0000195   4.2497E+04  2.3614E+03 -2.0044E+02
0000196   3.7016E+04 -1.3472E+03  6.6575E+03
0000197   3.3858E+04 -6.2793E+03  1.5809E+03
0000198   3.8945E+04 -2.1109E+02  8.3092E+02
0000199   3.9099E+04  1.2262E+03  3.8820E+03
0000200   2.2154E+04 -1.1284E+03  7.4762E+02
0000201   3.4112E+04  2.0626E+03  2.6952E+03
0000202   3.8401E+04 -4.6739E+03  3.3068E+03
0000203   3.9920E+04 -2.6950E+02 -3.0039E+03
0000204   3.1641E+04  4.7036E+03 -9.4622E+03
0000205   4.0798E+04  1.1978E+02 -5.8834E+03
