============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 3000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000180   3.4225E+04 -4.4277E+03  3.4034E+03
0000181   4.0851E+04 -8.7361E+03 -7.7815E+03
0000182   4.2168E+04  2.4570E+03  1.0507E+02
0000183   3.7633E+04 -2.5285E+03 -2.0427E+03
0000184   4.3628E+04 -1.8017E+03 -4.3423E+02
0000185   3.7660E+04 -6.8221E+03 -7.1844E+03
0000186   4.2104E+04  5.9314E+03 -1.1653E+03
0000187   4.0023E+04 -1.3446E+03  4.5783E+03
0000188   3.3438E+04  1.1165E+04  4.9469E+03
0000189   4.0670E+04  3.4302E+03 -6.7195E+03
0000190   3.7320E+04 -2.6529E+03 -1.5915E+03
0000191   4.5895E+04 -1.1576E+03 -2.0799E+03
0000192   3.9867E+04  9.7147E+02  1.7379E+03
0000193   3.9329E+04  4.4055E+01 -1.6975E+03
0000194   4.3650E+04  8.0075E+03 -3.6540E+03
0000195   3.9433E+04  3.3294E+03  9.8396E+03
0000196   4.2774E+04  8.7082E+02  3.9006E+03
0000197   4.2644E+04 -5.0797E+03 -1.4791E+03
0000198   4.2486E+04  6.6267E+03  1.5678E+03
0000199   4.5372E+04  2.1480E+03 -4.0671E+02
0000200   4.0678E+04  2.7812E+03  5.4281E+03
0000201   3.9747E+04  7.0278E+03 -2.9657E+03
0000202   4.3852E+04 -3.0747E+03  3.9743E+03
0000203   4.1448E+04 -4.7946E+02  2.1870E+03
0000204   3.3232E+04  1.5934E+02 -3.3316E+02
0000205   3.6710E+04 -6.4683E+03 -4.8709E+02
0000206   3.8931E+04  1.7638E+03  2.7794E+03
0000207   4.2412E+04  5.2009E+02 -6.9865E+02
0000208   3.5270E+04 -4.6682E+03 -2.0098E+03
0000209   2.8119E+04 -8.5544E+03  1.7505E+03
0000210   4.1821E+04  1.0483E+03 -6.7884E+03
0000211   4.3630E+04  3.9040E+03  1.4401E+03
0000212   3.9887E+04  7.5925E+03 -8.7120E+03
0000213   3.6384E+04 -1.7679E+03 -8.7570E+03
0000214   4.6154E+04  1.6947E+03 -6.5370E+03
0000215   4.2601E+04 -3.4067E+03  4.1914E+03
0000216   4.1654E+04  1.8815E+03 -4.8597E+02
0000217   4.0268E+04 -1.0747E+04 -2.6343E+03
0000218   4.2796E+04 -1.6985E+03 -2.2969E+03
0000219   3.5666E+04  1.6537E+03 -3.8564E+03
0000220   4.0721E+04 -9.5587E+02  4.4955E+03
0000221   4.1644E+04 -1.6724E+03 -5.9941E+03
0000222   4.0871E+04  7.9951E+03 -5.2484E+03
0000223   4.6469E+04 -5.5951E+03 -1.7489E+03
0000224   4.4500E+04 -5.0163E+03 -6.4567E+03
0000225   3.9420E+04 -2.0007E+03 -6.7522E+03
0000226   3.9803E+04 -7.8610E+03 -3.3479E+03
0000227   4.3782E+04 -1.1543E+03  4.7540E+03
0000228   4.1593E+04  1.6908E+03 -8.7259E+03
0000229   4.2721E+04 -5.8709E+03 -4.8171E+03
0000230   3.8209E+04  3.4523E+03  1.8900E+03
0000231   4.2952E+04  3.3230E+03  4.6106E+03
0000232   4.0439E+04  4.8584E+03 -4.8599E+02
0000233   3.6994E+04 -1.7753E+04 -3.6932E+03
0000234   3.4868E+04  1.0041E+03  6.9508E+03
0000235   4.0105E+04 -3.6625E+03 -3.2934E+03
0000236   4.0157E+04  1.0500E+03 -7.8960E+03
0000237   4.4022E+04  1.1211E+03 -2.6635E+03
0000238   3.7862E+04 -5.0343E+03 -6.0252E+03
0000239   4.0494E+04  6.4149E+03  3.3990E+03
0000240   2.7000E+04 -7.7632E+03  1.4643E+03
0000241   3.9117E+04  3.8134E+03 -6.6541E+03
0000242   3.8561E+04 -5.2462E+02 -1.4027E+02
0000243   4.4954E+04 -1.4199E+03  3.7219E+02
0000244   4.3384E+04 -3.0403E+03 -3.5445E+03
0000245   4.3745E+04 -2.9897E+03 -2.2327E+03
0000246   4.2913E+04 -3.3048E+03 -8.1952E+02
0000247   3.8073E+04 -7.5397E+02 -2.8329E+03
0000248   3.7326E+04 -5.8361E+03  2.4696E+03
0000249   4.1203E+04 -8.0220E+03  7.9563E+03
0000250   4.0550E+04  2.6073E+03 -1.7639E+03
0000251   4.4000E+04 -1.2195E+03  9.1458E+03
0000252   4.3728E+04 -9.2283E+02 -5.3075E+03
0000253   4.0610E+04 -8.8656E+02 -1.9362E+03
0000254   4.5163E+04  3.6899E+03  1.2110E+03
0000255   4.0328E+04  5.6384E+03  5.8640E+03
0000256   4.6557E+04 -3.1924E+03  2.0780E+03
0000257   3.9078E+04 -1.0412E+03 -1.2566E+03
0000258   3.4610E+04  1.6881E+03  7.3739E+03
0000259   3.9672E+04 -6.9345E+03 -4.9273E+03
0000260   3.3419E+04  1.0735E+04 -8.7564E+03
0000261   4.3781E+04 -5.8606E+03 -4.8129E+03
0000262   3.7371E+04 -2.0935E+03 -1.8915E+03
0000263   4.1168E+04  1.4520E+03  1.4049E+03
0000264   4.4540E+04 -4.4959E+03  4.4642E+03
0000265   3.5889E+04 -4.0432E+03  7.3285E+03
0000266   4.0327E+04 -3.2774E+03  1.3822E+03
0000267   4.1483E+04 -4.7836E+03 -5.7779E+03
0000268   3.6484E+04 -2.6118E+02 -2.8832E+03
0000269   4.5778E+04 -1.5782E+03 -4.8924E+03
0000270   4.4179E+04  2.7567E+03  1.6920E+02
0000271   4.4099E+04 -6.9649E+03 -2.9038E+03
0000272   4.2214E+04 -3.1919E+02  1.0477E+04
0000273   3.9977E+04  2.8224E+03 -1.1719E+03
0000274   4.3034E+04  7.9024E+03  2.9383E+02
0000275   3.8034E+04 -5.2157E+03 -1.7722E+03
0000276   3.9044E+04 -1.6696E+02 -3.7989E+03
0000277   4.1224E+04 -8.3008E+02 -2.9328E+03
0000278   4.1345E+04 -2.6689E+03  5.8174E+03
0000279   3.9817E+04 -1.3914E+03  2.7004E+03
0000280   4.2580E+04 -1.2884E+04 -1.6244E+03
0000281   3.5359E+04  4.4647E+03 -1.8787E+03
0000282   4.3487E+04 -1.4418E+03  3.4670E+03
0000283   3.9843E+04  6.1568E+03 -7.3085E+03
0000284   4.4224E+04  8.4845E+03  1.6727E+03
0000285   4.1608E+04 -3.2850E+03  2.9370E+02
0000286   4.4156E+04  4.0037E+03 -6.5764E+03
0000287   4.4368E+04 -4.7744E+03 -1.1355E+03
0000288   4.5716E+04  1.7315E+03  7.2195E+03
0000289   4.2870E+04  2.9590E+03  1.8562E+03
0000290   4.1980E+04 -6.1446E+03  8.4955E+03
0000291   4.0199E+04  3.2561E+03 -3.6102E+03
0000292   4.1107E+04  1.0146E+04  2.0148E+03
0000293   3.9022E+04  7.3976E+03  6.7628E+03
0000294   4.4674E+04  6.1828E+03 -4.3296E+02
0000295   3.7883E+04 -1.2609E+03 -7.6199E+03
0000296   4.0432E+04  2.9247E+03  4.3224E+03
0000297   3.8684E+04  1.8930E+03  5.7667E+02
0000298   2.3810E+04 -7.8319E+03  7.8928E+03
0000299   4.2793E+04  3.4562E+03 -7.4655E+02
0000300   4.4465E+04  6.9034E+02 -7.6931E+03
0000301   3.6111E+04  8.0942E+03 -2.4732E+02
0000302   3.9349E+04  4.3875E+02  7.9283E+03
0000303   3.7818E+04  5.0018E+03 -8.4564E+03
0000304   4.1885E+04  4.2615E+03 -7.0870E+03
0000305   4.2520E+04  7.3455E+03 -6.1211E+03
0000306   4.1973E+04  6.7209E+03  7.3807E+03
0000307   4.0094E+04  1.3202E+03  6.0500E+03
0000308   4.3484E+04 -1.3666E+03  4.8073E+03
0000309   3.3363E+04  4.9635E+03  8.0349E+03
0000310   3.7217E+04 -8.5711E+03  7.3870E+03
0000311   4.1145E+04  9.6622E+03 -4.3347E+01
0000312   4.5655E+04 -3.6593E+03 -1.1886E+03
0000313   3.7354E+04 -2.8868E+03 -3.9860E+03
0000314   4.2977E+04  1.9916E+03 -1.9981E+03
0000315   3.4405E+04 -1.2966E+03  2.0756E+03
0000316   4.4878E+04  3.6189E+03 -1.0891E+03
0000317   3.9499E+04  3.0267E+02  5.3343E+03
0000318   3.6679E+04  4.3615E+03 -1.4412E+03
0000319   3.7640E+04  6.2610E+02 -3.9541E+02
0000320   3.9732E+04  4.0235E+03  6.4528E+02
0000321   4.0918E+04 -5.4857E+03 -9.9515E+03
0000322   3.9941E+04  4.1334E+03 -4.7680E+03
0000323   4.1113E+04 -6.0264E+01 -2.6470E+03
0000324   3.9377E+04 -1.8023E+03 -7.4801E+03
0000325   4.4210E+04 -5.1992E+03 -1.7739E+03
0000326   4.3755E+04  8.5271E+03  2.6633E+03
0000327   4.2684E+04 -4.1033E+01 -2.2444E+03
0000328   4.2345E+04  6.6864E+03 -5.4106E+03
0000329   3.9644E+04 -1.7381E+03 -4.7784E+03
0000330   3.9222E+04 -8.6896E+03  2.9364E+03
0000331   4.0924E+04  1.4439E+03  5.3213E+02
0000332   4.0455E+04 -2.4719E+02  6.0402E+03
0000333   4.0464E+04 -3.4059E+03 -1.3365E+04
0000334   3.9208E+04  1.2007E+03  5.2966E+03
0000335   4.3565E+04 -1.0422E+04  7.0860E+03
0000336   3.9854E+04  1.1219E+04  5.0479E+03
0000337   4.3221E+04  2.1755E+03 -5.9361E+03
0000338   3.9127E+04 -6.0638E+03  1.4665E+03
0000339   4.4263E+04 -3.1774E+03 -3.1495E+03
0000340   3.7251E+04  4.0761E+03 -3.5644E+03
0000341   3.7682E+04  9.7547E+03  1.0369E+03
0000342   4.3726E+04  4.5258E+02  2.6844E+03
0000343   4.3928E+04 -2.3770E+03  1.8210E+03
0000344   4.3944E+04  6.7492E+03  2.6048E+02
0000345   3.7465E+04 -9.6106E+03 -4.2164E+03
0000346   3.9592E+04 -1.9344E+03  5.6765E+03
0000347   4.1474E+04  6.2126E+03  1.3372E+03
0000348   4.3176E+04  3.9123E+03  1.8163E+03
0000349   4.6098E+04 -1.0573E+02  7.7382E+03
0000350   4.2663E+04 -7.9548E+03 -1.8186E+03
0000351   4.2658E+04 -9.8995E+02  3.3427E+03
0000352   3.9975E+04 -4.6725E+03  6.9071E+02
0000353   4.3182E+04  2.8538E+03 -3.2925E+03
0000354   4.4988E+04 -4.3820E+03  2.6417E+03
0000355   3.8950E+04 -2.5756E+03 -1.4850E+03
0000356   3.6484E+04  4.3512E+03 -2.0567E+03
0000357   4.1931E+04  5.5822E+03  3.1350E+02
0000358   3.5996E+04  8.5467E+03  6.2407E+03
0000359   3.8506E+04 -2.2208E+03 -1.1099E+04
0000360   4.2198E+04 -9.1448E+03  7.2950E+02
0000361   3.4648E+04 -1.4738E+03 -4.4647E+03
0000362   3.6570E+04  1.7596E+02  7.6677E+03
0000363   4.4456E+04  2.5039E+03 -8.3221E+03
0000364   3.8589E+04 -5.0524E+03 -5.8334E+03
0000365   3.7654E+04  4.7602E+03 -3.8106E+03
0000366   4.2876E+04 -8.6959E+03  3.9591E+03
0000367   4.3273E+04 -9.1129E+03  4.3857E+03
0000368   3.5925E+04  1.0596E+03 -6.2645E+03
0000369   3.9374E+04 -5.5119E+03  6.3835E+03
0000370   3.7909E+04 -6.6099E+03 -7.1199E+03
0000371   3.6290E+04  6.6523E+02 -6.9296E+03
0000372   4.2561E+04  1.3808E+03 -2.3936E+03
0000373   4.1652E+04  7.2800E+03 -1.4297E+03
0000374   4.0585E+04  4.4585E+03 -8.2459E+03
0000375   4.1787E+04 -2.5785E+03  3.1759E+03
0000376   4.2921E+04 -5.6473E+03 -2.3396E+03
0000377   4.4196E+04  1.5559E+03  5.1277E+02
0000378   4.1890E+04 -6.8217E+03  4.7368E+03
0000379   4.2463E+04  6.6902E+03 -2.7769E+03
0000380   4.3778E+04 -7.0104E+03 -1.9357E+03
0000381   2.4925E+04 -5.5722E+03  3.3204E+03
0000382   3.8823E+04 -1.1500E+04 -6.4681E+03
0000383   4.0757E+04 -2.1027E+03 -3.4290E+03
0000384   4.3436E+04  1.1996E+03 -6.3165E+03
0000385   4.3558E+04 -1.9511E+03  3.0857E+02
0000386   4.2717E+04  3.2530E+03 -6.6853E+03
0000387   4.1496E+04 -6.4710E+03  4.5453E+03
0000388   4.3389E+04 -6.8386E+03  6.2677E+02
0000389   4.1451E+04 -9.6807E+02  9.3416E+03
0000390   4.4080E+04  5.9745E+03 -1.5634E+03
0000391   4.3541E+04  5.4569E+02 -6.6643E+02
0000392   3.7801E+04  2.2684E+03  1.1341E+04
0000393   4.0841E+04  6.6687E+03 -1.4813E+03
0000394   4.3328E+04  3.9164E+03 -3.0329E+03
0000395   4.0182E+04  1.3365E+04  7.4206E+01
0000396   3.1830E+04 -8.0587E+02  1.4806E+03
0000397   4.3562E+04  7.4387E+03 -7.7013E+03
0000398   4.3400E+04 -1.1024E+03  4.7511E+03
0000399   3.7667E+04 -5.8691E+03  4.0350E+03
0000400   3.9618E+04 -1.0312E+04  1.6033E+03
0000401   3.4958E+04  1.1553E+03 -8.7279E+03
0000402   4.3242E+04 -1.1682E+03 -2.2624E+03
0000403   3.8496E+04 -2.7461E+03  8.2419E+03
0000404   3.2897E+04 -2.6264E+03 -9.6924E+02
0000405   3.8924E+04  6.9636E+03 -1.0431E+03
0000406   4.5262E+04 -6.4151E+03  6.9408E+02
0000407   3.8054E+04  1.2660E+03 -3.7774E+02
0000408   4.2578E+04  4.8857E+03 -6.2014E+03
0000409   4.5373E+04  1.2755E+03  3.8219E+03
0000410   3.7710E+04  4.8822E+03 -7.6854E+03
0000411   3.9291E+04  1.0452E+03  7.5026E+03
0000412   3.3213E+04  1.2158E+04 -8.5612E+03
0000413   3.4804E+04  1.7712E+03  6.1092E+03
0000414   4.1082E+04  2.5591E+03  1.1476E+03
0000415   4.4397E+04 -5.9275E+03  2.2700E+03
0000416   4.5756E+04  1.8410E+02  9.0613E+02
0000417   4.4660E+04  2.3168E+03  6.8730E+03
0000418   4.3302E+04 -1.6229E+03 -3.8769E+03
0000419   3.7086E+04  1.0085E+04 -4.4369E+03
0000420   4.1342E+04  1.7868E+03 -5.3853E+03
0000421   4.3713E+04 -2.7303E+03 -2.8630E+03
0000422   3.6893E+04  1.6904E+03 -1.4326E+03
0000423   4.4107E+04 -3.0874E+03  4.0125E+03
0000424   4.1775E+04  2.1456E+03  7.3154E+03
0000425   4.2766E+04 -3.8042E+03 -2.8337E+03
0000426   4.5073E+04  3.8744E+03  4.3397E+03
0000427   3.9766E+04  3.9489E+03 -8.4709E+02
0000428   2.3264E+04  1.9033E+04 -1.4039E+04
0000429   4.2912E+04 -5.3930E+03 -2.6467E+03
0000430   3.8628E+04 -6.7889E+03  9.1907E+02
0000431   4.4903E+04 -7.6617E+03 -5.2613E+03
0000432   4.2477E+04  3.1265E+03 -2.9864E+02
0000433   4.0903E+04 -8.0827E+02 -3.2387E+02
0000434   4.3069E+04 -6.6775E+03  3.5236E+03
0000435   4.3848E+04  2.4510E+03 -1.0375E+03
0000436   4.1261E+04  2.0267E+03 -5.8839E+03
0000437   3.8069E+04  6.4198E+03  9.6187E+03
0000438   4.3332E+04 -6.8588E+01  5.1194E+03
0000439   3.9989E+04 -1.0040E+04  3.7595E+03
0000440   4.2257E+04 -1.0064E+03  6.4398E+03
0000441   4.0999E+04 -2.9127E+03 -3.1750E+03
0000442   4.1947E+04  5.8293E+03 -7.4946E+02
0000443   4.1484E+04 -4.5542E+03  8.5528E+03
0000444   4.3215E+04  7.4744E+02  3.2379E+03
0000445   3.9440E+04  2.0860E+03  9.5885E+03
0000446   4.4446E+04 -4.8510E+03 -3.5516E+03
0000447   4.1593E+04  9.2398E+03  1.5013E+03
0000448   4.0209E+04  2.8146E+03  1.2238E+03
0000449   4.1743E+04  3.6517E+03 -4.2826E+03
0000450   4.2295E+04  5.4480E+03  3.7129E+03
